date,h,variant,sig,p
2013-01-04,1,base,-1,0.412
2013-01-07,1,base,-1,0.412
2013-01-08,1,base,1,0.611
2013-01-09,1,base,1,0.611
2013-01-10,1,base,1,0.611
2013-01-14,1,base,-1,0.412
2013-01-17,1,base,1,0.611
2013-01-18,1,base,1,0.611
2013-01-21,1,base,1,0.611
2013-01-24,1,base,-1,0.412
2013-01-25,1,base,1,0.587
2013-02-05,1,base,-1,0.412
2013-02-21,1,base,-1,0.412
2013-02-22,1,base,-1,0.412
2013-02-26,1,base,-1,0.412
2013-03-06,1,base,1,0.611
2013-03-07,1,base,1,0.611
2013-03-08,1,base,1,0.611
2013-03-18,1,base,1,0.611
2013-03-19,1,base,1,0.611
2013-04-08,1,base,-1,0.412
2013-04-15,1,base,-1,0.412
2013-04-16,1,base,-1,0.412
2013-04-18,1,base,-1,0.412
2013-04-23,1,base,-1,0.412
2013-04-25,1,base,-1,0.412
2013-04-26,1,base,1,0.611
2013-04-29,1,base,1,0.611
2013-05-07,1,base,1,0.611
2013-05-08,1,base,1,0.611
2013-05-09,1,base,1,0.611
2013-05-10,1,base,1,0.611
2013-05-13,1,base,1,0.611
2013-05-14,1,base,1,0.611
2013-05-15,1,base,1,0.611
2013-05-16,1,base,1,0.611
2013-05-17,1,base,1,0.611
2013-05-20,1,base,1,0.611
2013-05-22,1,base,1,0.611
2013-05-23,1,base,1,0.611
2013-05-24,1,base,1,0.611
2013-05-27,1,base,1,0.611
2013-05-28,1,base,1,0.611
2013-05-30,1,base,-1,0.412
2013-06-03,1,base,-1,0.412
2013-06-06,1,base,1,0.611
2013-06-07,1,base,1,0.611
2013-06-10,1,base,1,0.611
2013-06-13,1,base,-1,0.412
2013-06-20,1,base,-1,0.412
2013-06-21,1,base,-1,0.412
2013-06-25,1,base,-1,0.412
2013-07-01,1,base,-1,0.412
2013-07-03,1,base,-1,0.412
2013-07-08,1,base,-1,0.412
2013-07-15,1,base,-1,0.412
2013-07-16,1,base,-1,0.412
2013-07-17,1,base,-1,0.412
2013-07-18,1,base,-1,0.412
2013-07-19,1,base,-1,0.412
2013-07-25,1,base,-1,0.412
2013-08-06,1,base,-1,0.412
2013-08-07,1,base,-1,0.412
2013-08-08,1,base,-1,0.412
2013-08-14,1,base,-1,0.412
2013-08-15,1,base,-1,0.412
2013-08-16,1,base,-1,0.412
2013-08-22,1,base,-1,0.412
2013-08-27,1,base,-1,0.412
2013-08-28,1,base,-1,0.412
2013-09-02,1,base,-1,0.412
2013-09-04,1,base,-1,0.412
2013-09-06,1,base,1,0.611
2013-09-09,1,base,1,0.611
2013-09-11,1,base,1,0.611
2013-09-12,1,base,-1,0.412
2013-09-13,1,base,-1,0.412
2013-09-17,1,base,-1,0.412
2013-09-25,1,base,-1,0.412
2013-09-30,1,base,-1,0.412
2013-10-02,1,base,1,0.611
2013-10-04,1,base,-1,0.412
2013-10-07,1,base,-1,0.412
2013-10-09,1,base,-1,0.412
2013-10-14,1,base,1,0.611
2013-10-15,1,base,1,0.611
2013-10-16,1,base,1,0.611
2013-10-17,1,base,1,0.611
2013-10-18,1,base,1,0.611
2013-10-21,1,base,1,0.611
2013-10-22,1,base,1,0.611
2013-10-24,1,base,-1,0.412
2013-10-25,1,base,-1,0.412
2013-10-29,1,base,-1,0.412
2013-10-31,1,base,-1,0.412
2013-11-04,1,base,-1,0.412
2013-11-06,1,base,1,0.611
2013-11-07,1,base,1,0.611
2013-11-08,1,base,1,0.611
2013-11-11,1,base,1,0.611
2013-11-12,1,base,1,0.611
2013-11-13,1,base,1,0.611
2013-11-20,1,base,-1,0.412
2013-11-21,1,base,-1,0.412
2013-12-03,1,base,-1,0.412
2013-12-04,1,base,-1,0.412
2013-12-05,1,base,1,0.611
2013-12-06,1,base,1,0.611
2013-12-09,1,base,1,0.611
2013-12-10,1,base,1,0.611
2013-12-11,1,base,1,0.611
2013-12-12,1,base,-1,0.412
2013-12-16,1,base,-1,0.412
2013-12-20,1,base,-1,0.412
2014-01-02,1,base,-1,0.423
2014-01-03,1,base,1,0.648
2014-01-06,1,base,1,0.648
2014-01-07,1,base,1,0.648
2014-01-08,1,base,1,0.648
2014-01-09,1,base,1,0.648
2014-01-10,1,base,1,0.648
2014-01-13,1,base,1,0.648
2014-01-14,1,base,1,0.648
2014-01-15,1,base,1,0.648
2014-01-21,1,base,1,0.648
2014-01-23,1,base,-1,0.453
2014-01-27,1,base,-1,0.453
2014-02-25,1,base,-1,0.423
2014-02-26,1,base,-1,0.423
2014-02-27,1,base,-1,0.423
2014-03-03,1,base,-1,0.423
2014-03-04,1,base,-1,0.423
2014-03-05,1,base,-1,0.423
2014-03-06,1,base,-1,0.423
2014-03-07,1,base,1,0.648
2014-03-10,1,base,1,0.648
2014-03-11,1,base,1,0.648
2014-03-12,1,base,-1,0.453
2014-03-13,1,base,-1,0.423
2014-03-14,1,base,-1,0.453
2014-03-20,1,base,-1,0.453
2014-03-31,1,base,-1,0.423
2014-04-01,1,base,-1,0.423
2014-04-02,1,base,-1,0.423
2014-04-03,1,base,-1,0.423
2014-04-07,1,base,-1,0.423
2014-04-08,1,base,-1,0.423
2014-04-09,1,base,-1,0.423
2014-04-10,1,base,-1,0.423
2014-04-11,1,base,-1,0.423
2014-04-14,1,base,-1,0.423
2014-04-15,1,base,-1,0.423
2014-04-16,1,base,-1,0.423
2014-04-17,1,base,-1,0.423
2014-04-25,1,base,-1,0.453
2014-05-07,1,base,-1,0.453
2014-05-28,1,base,-1,0.423
2014-05-29,1,base,-1,0.423
2014-05-30,1,base,1,0.648
2014-06-03,1,base,1,0.648
2014-06-04,1,base,1,0.648
2014-06-05,1,base,1,0.648
2014-06-06,1,base,1,0.648
2014-06-09,1,base,1,0.648
2014-06-10,1,base,1,0.648
2014-06-11,1,base,1,0.648
2014-06-12,1,base,-1,0.423
2014-06-13,1,base,-1,0.423
2014-06-16,1,base,-1,0.423
2014-06-17,1,base,-1,0.423
2014-06-18,1,base,-1,0.423
2014-06-19,1,base,-1,0.423
2014-06-20,1,base,-1,0.423
2014-07-01,1,base,-1,0.423
2014-07-02,1,base,-1,0.423
2014-07-03,1,base,-1,0.423
2014-07-04,1,base,1,0.648
2014-07-07,1,base,1,0.648
2014-07-08,1,base,1,0.648
2014-07-09,1,base,-1,0.423
2014-07-10,1,base,-1,0.423
2014-07-11,1,base,-1,0.423
2014-07-14,1,base,-1,0.423
2014-07-15,1,base,-1,0.423
2014-08-08,1,base,-1,0.453
2014-08-21,1,base,-1,0.453
2014-08-26,1,base,-1,0.423
2014-08-27,1,base,-1,0.423
2014-08-28,1,base,-1,0.423
2014-08-29,1,base,-1,0.423
2014-09-01,1,base,-1,0.423
2014-09-02,1,base,-1,0.423
2014-09-03,1,base,-1,0.423
2014-09-04,1,base,-1,0.423
2014-09-11,1,base,-1,0.453
2014-09-18,1,base,-1,0.453
2014-09-22,1,base,-1,0.453
2014-10-01,1,base,-1,0.453
2014-10-02,1,base,-1,0.453
2014-10-03,1,base,-1,0.453
2014-10-13,1,base,-1,0.453
2014-10-17,1,base,1,0.648
